criteria, concept1, concept2, concept3
Original Weights,3.4000000000000004,3.4000000000000004,3.7
Reliability -1,3.3333333333333335,3.444444444444444,3.7777777777777777
Reliability +1,3.4545454545454546,3.3636363636363633,3.6363636363636367
Maintainability +1,3.4545454545454546,3.3636363636363633,3.5454545454545454
Controllability -1,3.222222222222222,3.333333333333333,3.777777777777778
Controllability +1,3.5454545454545454,3.454545454545454,3.6363636363636367
Peak power -1,3.6666666666666665,3.4444444444444446,3.555555555555556
Peak power +1,3.181818181818182,3.3636363636363633,3.8181818181818183
Takeoff weight -1,3.4444444444444446,3.333333333333333,3.5555555555555554
Takeoff weight +1,3.3636363636363633,3.454545454545454,3.8181818181818183
